"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","El paquete con el precio dinámico no se puede definir opciones a medida. Las opciones no se guardaran."
"CRITICAL","CRÍTICO"
"CSV","CSV"
"CSV / Tab separated","CSV /  separado con tabulaciones"
"Cache Control","Control de la cache"
"Cache Control (beta)","Control de la cache (beta)"
"Cache Management","Gestor de la cache"
"Can not add new comment.","No puede enviar comentarios."
"Can not add tracking number.","No se puede añadir el número de seguimiento."
"Can not delete tracking number.","No se puede eliminar el número de seguimiento"
"Can not do credit memo for order","No se puede dar crédito del pedido"
"Can not do invoice for order","No se puede crear la factura del pedido"
"Can not do shipment for order.","No se puede enviar el pedido"
"Can not initialize shipment for adding tracking number.","No se puede inicializar el envio para añadir el número de seguimiento."
"Can not initialize shipment for delete tracking number.","No se puede inicializar el envio para eliminar el número de seguimiento."
"Can not load track with retrieving identifier.","No se puede leer el historial de la recuperación"
"Can not retrieve tracking number detail.","No se puede leer el historial de los números de seguimiento"
"Can not save credit memo","No se puede guardar el Credit Memo"
"Can not save invoice","No se ha podido guardar la factura"
"Can not save shipment.","No se ha podido guardar el envío"
"Can not send shipment information.","No puede enviar la información del envío."
"Can not update item qty","No se ha podido actualizar la cantidad de artículos"
"Can't delete design change","No se puede borrar el cambio de diseño"
"Can't find email address.","No se puede encontrar la dirección del correo electrónico."
"Cancel","Cancelar"
"Card Verification Number","Código de seguridad de Tarjeta"
"Catalog","Catálogo"
"Catalog Rewrites","Reescritura del catálogo"
"Catalog Rewrites was refreshed successfully","La reescritura del catálogo ha sido actualizada correctamente"
"Catalog Rewrites were refreshed successfully","La reescritura del catálogo ha sido actualizada correctamente"
"CatalogInventory Stock Status rebuild error. Please try again later","Error al reconstruir el estado del inventario del stock del catálogo. Por favor reintentalo más tarde"
"CatalogInventory Stock Status was rebuilt successfully","El estado del stock del inventario del catálogo se ha reconstruido correctamente"
"Category","Categoría"
"Category:","Categoría:"
"Changelog","Control de cambios"
"Channel","Canal"
"Channel:","Canal:"
"Checkbox","Caja de selección"
"Choose Store View","Seleccione la vista de tienda"
"Choose an attribute","Seleccione un atributo"
"Clear","Limpiar"
"Close","Cerrar"
"Comment text field can not be empty.","El campo de texto para comentarios no puede estar vacío."
"Comments History","Historial de comentarios"
"Complete","Completa"
"Configuration","Configuración"
"Configuration successfully saved","La configuración fue grabada con éxito"
"Confirmed email:","Email confirmado:"
"Conflicts","Conflictos"
"Connect with the Magento Community","Conectar a la Comunidad de Magento"
"Contents","Contenidos"
"Convert to Plain Text","Convertir a texto plano"
"Cookie (Unsafe)","Cookie (Inseguro)"
"Country","País"
"Country:","País:"
"Coupon Code","Código de cupón"
"Coupons","Cupones"
"Create","Crear"
"Create DB Backup","Crear copia de seguridad de la BD"
"Create Extension Package","Crear un paquete de extensiones"
"Create New Attribute","Crear un nuevo atributo"
"Create New Staging Store View","Crear nuevo estado de Vista de Tienda"
"Create Urlrewrite:","Crear reescritura de URL"
"Create a backup","Crear una copia de seguridad"
"Created <strong>%s</strong> items","Creados <strong>%s</strong> ítems"
"Created At","Creado el"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Number: xxxx-%s","Número de tarjeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de tarjeta de crédito: %s"
"Credit Memo #%s comment added","El comentario al informe de crédito #%s fue añadido"
"Credit Memo #%s created","La factura de abono #%s ha sido creada"
"Credit Memo History","Historial de facturas de abono"
"Credit Memo Totals","Totales de factura de abono"
"Credit Memo cancel error.","Error cancelando Informe de Crédito"
"Credit Memo total must be positive.","El total para el Informe de Credito debe ser positivo."
"Credit Memo void error","Error de Informe de Credito vacío"
"Credit Memo was successfully canceled.","Informe de Credito cancelado con éxito"
"Credit Memo was successfully created","Informe de Credito creado con éxito"
"Credit Memo was successfully voided","Informe de Credito anulado con éxito"
"Currency","Moneda"
"Currency Information","Información de moneda"
"Currency Setup Section","Sección de ajuste de moneda"
"Current Configuration Scope:","Alcance de la configuración actual"
"Current Release Information","Información del lanzamiento actual"
"Custom","Personalizar"
"Customer","Cliente"
"Customer Group:","Grupo de cliente:"
"Customer Name","Nombre del cliente"
"Customer Since:","Cliente desde:"
"Customer was deleted","El cliente fue borrado"
"Customer was successfully saved","El cliente fue grabado exitosamente"
"Customer with the same email already exists.","Ya existe un cliente con la misma dirección de correo electrónico."
"Customers","Clientes"
"DHTML Date/Time Selector","Selector DHTML de fecha/hora"
"Dashboard","Panel de administración"
"Data Format","Formato de datos"
"Data transfer:","Transferencia de datos"
"Date","Fecha"
"Date & Time","Fecha y hora"
"Date Added","Fecha añadida"
"Date Updated","Fecha actualizada"
"Date selection:","Seleccione la fecha:"
"Date selector","Selector de fecha"
"Date:","Fecha:"
"Day","Día"
"Decimal separator:","Separador de decimales:"
"Default (Admin) Values","Valores por defecto (Admin)"
"Default Config","Configuración por defecto"
"Default Template from Locale","Plantilla por defecto desde Local"
"Default Values","Valores por defecto"
"Default display currency ""%s"" is not available in allowed currencies","La moneda por defecto ""%s"", no está disponible entre las permitidas"
"Default scope","Alcance por defecto"
"Delete","Borrar"
"Delete %s","Borrar %s"
"Delete %s '%s'","Borrar %s '%s'"
"Delete Profile","Borrar el perfil"
"Delete Role","Borrar el rol"
"Delete Store View","Borrar la vista de tienda"
"Delete Template","Borrar la plantilla"
"Delete User","Borrar el usuario"
"Delete Website","Borrar el sitio web"
"Dependencies","Dependencias"
"Description","Descripción"
"Description:","Descripción:"
"Design","Diseño"
"Design Section","Sección Diseño"
"Design change deleted","El cambio de diseño fue borrado"
"Design change saved","El cambio de diseño fue grabado"
"Developer Section","Sección Desarrollador"
"Direction:","Dirección:"
"Disable","Deshabilitar"
"Disabled","Deshabilitado"
"Discount Amount","Cantidad de descuento"
"Display %s first","Mostrar %s primero"
"Display default currency","Mostrar la moneda por defecto"
"Distributed under GNU LGPL. See %s for details.","Distribuído bajo GNU LGPL. Ver %s para más detalles."
"Do you really want to KILL parallel process and start new indexing process?","Realmente quieres MATAR procesos en paralelo y iniciar un nuevo proceso de indexación?"
"Done By:","Hecho por:"
"Done by:","Hecho por:"
"Download Remote File","Descargar archivo remoto"
"Download and Install","Descargar e instalar"
"Downloading and installing $pkg, please wait...","Descargando e instalando $pkg, por favor espere…"
"Drag to move","Arrastre para mover"
"Drop-down","Desplegable"
"Edit","Editar"
"Edit Email Template","Editar la plantilla de correo electrónico"
"Edit Poll","Editar la votación"
"Edit Role","Editar el rol"
"Edit Store View","Editar la vista de tienda"
"Edit System Template","Editar la plantilla del sistema"
"Edit Tag","Editar la etiqueta"
"Edit Template","Editar la plantilla"
"Edit Urlrewrite","Editar reescritura de URL"
"Edit User","Editar el usuario"
"Edit User '%s'","Editar usuario '%s'"
"Edit Website","Editar el sitio web"
"Email","Correo electrónico"
"Email Address:","Dirección de correo electrónico:"
"Email Preview","Previsualizar el correo electrónico"
"Email address is empty.","La dirección de correo electrónico está vacía"
"Email to a Friend","Enviar por e-mail a un amigo"
"Email:","Correo electrónico:"
"Enable","Habilitar"
"Enabled","Habilitado"
"Enclose Values In:","Limitar valores a:"
"Entity Type","Tipo de entidad"
"Entity type:","Tipo de entidad:"
"Error uploading the file","Error al subir el archivo"
"Error while cleared Image cache. Please try again later","Error mientras se limpiaba la cache de imágenes. Por favor reintentalo más tarde"
"Error while create backup. Please try again later","Error al crear la copia de seguridad. Por favor intente más tarde"
"Error while deleting this role. Please try again later.","Error al borrar este rol. Por favor, intente más tarde."
"Error while deleting this set.","Error al borrar este conjunto."
"Error while finished process. Please refresh cache","Error mientras finalizaba el proceso. Por favor refresca la cache"
"Error while refreshed Catalog Rewrites. Please try again later","Error mientras se refrescaba la reescritura del catalogo. Por favor inténtalo de nuevo"
"Error while refreshed Layered Navigation Indices. Please try again later","Error mientras se resfrescaban los indices de la Navegación por Rangos. Por favor reintentalo más tarde"
"Error while saving account. Please check all required fields","Error al guardar cuenta. Por favor revisa todos los campos obligatorios"
"Error while saving account. Please try again later","Error al guardar la cuenta. Por favor, intente más tarde."
"Error while saving this configuration: ","Error al guardar esta configuración:"
"Error while saving this role. Please try again later.","Error al guardar este rol. Por favor, intente más tarde."
"Error while updating selected review(s). Please try again later.","Error al actualizar las opiniones seleccionadas. Por favor, intente más tarde."
"Excl. Tax","Impuestos no incl."
"Exclude","Excluir"
"Exclude (comma separated)","Excluir (separado por coma)"
"Expiration Date","Fecha de expiración"
"Expiration Date: %s/%s","Fecha de expiración: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar a:"
"Export:","Exportar:"
"Extension","Extensión"
"Extension Name","Nombre de la extensión"
"Extensions","Extensiones"
"FTP Host[:Port]","Dirección FTP[:Puerto]"
"Failed to add a product to cart by id ""%s""","Fallo al añadir un producto al carro con id ""%s"""
"Failed to load %1$s.xml or %1$s.ser","Error al cargar %1$s.xml o %1$s.ser"
"Field","Campo"
"Field Mapping","Mapeo de campo"
"File","Fichero"
"File Information","Información del archivo"
"File name:","Nombre del archivo:"
"File size should be more than 0 bytes","El tamaño del archivo debe ser mayor que 0 bytes"
"Final Price","Precio Final"
"Finished items creation.","Finalizada la creación de objetos."
"Finished profile execution.","Ejecución de perfil finalizada"
"First Name","Nombre"
"First Name:","Nombre:"
"Firstname","Nombre"
"Fixed","Arreglado"
"Flat Catalog Category rebuild error","Error en la reconstrucción del &iacute;ndice de categor&iacute;as"
"Flat Catalog Category was rebuilt successfully","Flat Catalog Category was rebuilt successfully"
"Flat Catalog Product rebuild error. Please try again later","Flat Catalog Product rebuild error. Please try again later"
"Flat Catalog Product was rebuilt successfully","Flat Catalog Product was rebuilt successfully"
"For category","Por categoría"
"For latest version visit: %s","Para obtener la última versión visite: %s"
"For product","Por producto"
"Forgot your password?","¿Olvidó su contraseña?"
"Forgot your user name or password?","Olvidó su nombre de usuario o contraseña?"
"From","Desde"
"Gb","Gb"
"General Information","Información general"
"General Section","Sección General"
"Get Image Base64","Obtener imagen base64"
"Get help for this page","Obtener ayuda para esta página"
"Global Attribute","Atributo global"
"Global Record Search","Búsqueda de registro global"
"Global Search","Búsqueda global"
"Go Today","Ir al día de hoy"
"Google Base","Google Base"
"Google Base Items","Ítems de Google Base"
"Grand Total","Total"
"Grid (default) / List","Cuadrícula (por defecto) / Lista"
"Grid only","Cuadrícula solamente"
"Group:","Grupo:"
"Guest","Invitado"
"HTTP (unsecure)","HTTP (inseguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Colabore en el desarrollo de Magento - Informe todos los errores"
"Home","Inicio"
"ID","ID"
"ID Path","Ruta de ID"
"IP Address","Dirección de IP"
"Ignore","Ignorar"
"Image cache was cleared successfully","La cache de la imagén ha sido eliminada con éxito"
"Images","Imágenes"
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Images Cache","Cache de Imágenes"
"Import","Importar"
"Import Service","Servicio de importación"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importación/Exportación avanzada"
"Import/Export Profile","Perfil de importación/exportación"
"Imported <strong>%s</strong> records","Registro importado <strong>%s</strong>"
"In","En"
"In Database:","En base de datos:"
"In File:","En archivo:"
"Inactive","Inactivo"
"Incl. Tax","Impuestos incl."
"Include","Incluir"
"Incoming Message","Mensaje entrante"
"Individual Item","Artículo individual"
"Install","Instalar"
"Install Package File","Archivo de instalación de paquete"
"Installed As","Instalado como"
"Installed Extension Info","Información de extensión instalada"
"Installed Version","Versión instalada"
"Installing $pkg, please wait...","Instalando $pkg, por favor espere..."
"Installing selected packages, please wait...","Instalando los paquetes seleccionados, por favor espere…"
"Instant Payment Notification (IPN)","Notificación de pago instantánea (IPN)"
"Interactive","Interactivo"
"Interface Locale: %s","Interfase Local: %s"
"Invalid Form Key. Please refresh the page.","Clave de formulario incorrecta. Por favor refresque la página"
"Invalid Import Service Specified","El servicio de importación especificado es inválido"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Datos de POST inválidos (por favor comprueba la configuración de post_max_size y upload_max_filesize en tu archivo php.in)"
"Invalid Secret Key. Please refresh the page.","Clave Secreta Inválida. Por favor recarge la página."
"Invalid URL","URL inválida"
"Invalid Username or Password.","Nombre de usuario o contraseña inválido"
"Invalid directory: %s","Directorio inválido: %s"
"Invalid file: %s","Archivo inválido: %s"
"Invalid input data for %s => %s rate","Datos ingresados inválidos para %s => %s tasa"
"Invalid input:","Ingreso inválido:"
"Invalid parrent block for this block","Bloque padre inválido para este bloque."
"Invalid section value","Valor de sección inválido"
"Invalid store value","Valor de tienda inválido"
"Invalid website value","Valor de sitio web inválido"
"Inventory Stock Status","Estado de Stock de Inventario"
"Invoice #%s comment added","Comentario añadido a factura #%s"
"Invoice #%s created","Factura #%s creada"
"Invoice History","Historial de facturación"
"Invoice Totals","Totales de factura"
"Invoice and shipment was successfully created.","La factura y el envío se han creado correctamente."
"Invoice cancel error.","Error al cancelar factura."
"Invoice capture error","Error en captura de factura"
"Invoice void error","Error al anular la factura"
"Invoice was successfully canceled.","Factura cancelada correctamente"
"Invoice was successfully captured","Factura fue capturada exitosamente"
"Invoice was successfully created.","Factura creada correctamente"
"Invoice was successfully voided","Factura correctamente anulada"
"Issue Number","Número de caso"
"Issuer: %s","Issuer: %s"
"Items","Articulos"
"Items to merge","Objetos a unir"
"Kb","Kb"
"Last 24 hours","Ultimas 24 horas"
"Last 5 Orders","Ultimos 5 pedidos"
"Last 5 Search Terms","Ultimos 5 términos buscados"
"Last 7 days","Ultimos 7 días"
"Last Logged In (%s):","Último acceso (%s):"
"Last Logged In:","Ultimo que accedió:"
"Last Month","Ultimo mes"
"Last Name","Apellido"
"Last Name:","Apellido:"
"Lastname","Apellido"
"Latest Message:","Último mensaje:"
"Layered Navigation Indices","Indices de navegación por capas"
"Layered Navigation Indices was refreshed successfully","Los indices de la navegación por capas se han refrescado correctamente"
"Layered Navigation Indices were refreshed successfully","Los indices de la navegación por capas se han refrescado correctamente"
"Layered Navigation indexing queue cancelled","La indexación de la Navegación por capas ha sido cancelado"
"Layered Navigation indexing queued","Indexación de la Navegación por Capas en cola"
"Layered Navigation process queued to be killed","Procesos de la Navegación por Capas para ser eliminados"
"Leave empty to use tax identifier","Deje vacío para usar un identificador de impuesto"
"Level","Nivel"
"License","Licencia"
"License URI","Licencia URI"
"License:","Licencia:"
"Lifetime Sales","Ciclo de ventas"
"Links","Enlaces"
"List (default) / Grid","Lista (por defecto) / Cuadrícula"
"List only","Lista solamente"
"Load Template","Cargar la plantilla"
"Load default template","Cargar la plantilla por defecto"
"Load local Package","Cargar paquete local"
"Loading...","Cargando…"
"Local Server","Servidor local"
"Local/Remote Server","Servidor local/remoto"
"Locale","Local"
"Log Out","Cerrar Sesión"
"Log in to Admin Panel","Ingresar al Panel de Administración"
"Log into Magento Admin Page","Acceder a la página de administración de Magento"
"Logged in as %s","Accedió como %s"
"Login","Ingresar"
"MAJOR","MAYOR"
"MINOR","MENOR"
"MS Excel XML","MS Excel XML"
"Magento Admin","Administracion de Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel de administración"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gestor de Magento Connect"
"Magento Logo","Logo de Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento es una marca registrada de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Versión de Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; es una marca registrada de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Desarrolladores"
"Manage Currency Rates","Gestionar tipos de cambio"
"Manage Customers","Gestionar clientes"
"Manage Installed Extensions","Gestionar extensiones instaladas"
"Manage Ratings","Gestionar las calificaciones"
"Manage Stores","Gestionar tiendas"
"Manage osCommerce Orders","Administrar pedidos osCommerce"
"Manage osCommerce Profiles","Administrar perfiles osCommerce"
"Mapping Configuration","Configuración del Mapeo"
"Matched expression","Expresiones coincidentes"
"Max","Máximo"
"Maximum","Máximo"
"Mb","Mb"
"Media (.avi, .flv, .swf)","Medios (.avi, .flv, .swf)"
"Merge Now","Unir ahora"
"Messages Inbox","Bandeja de entrada"
"Min","Mínimo"
"Minimum","Mínimo"
"Module version conflict!","¡Conflicto con la versión del módulo!"
"Month","Mes"
"Most Viewed Products","Productos más vistos"
"Multiple Select","Selección múltiple"
"My Account","Mi cuenta"
"N/A","No disponible"
"NOTICE","ADVERTENCIA"
"Name","Nombre"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"Name:","Nombre:"
"New Accounts","Nuevas cuentas"
"New Api Key","Nueva clave de Api"
"New Customers","Nuevos clientes"
"New Email Template","Nueva plantilla de correo electrónico"
"New Extension","Nueva extensión"
"New Item Type","Nuevo tipo de item"
"New Password","Nueva contraseña"
"New Profile","Nuevo perfil"
"New Store View","Nueva vista de tienda"
"New System Template","Nueva plantilla de sistema"
"New Tag","Nueva etiqueta"
"New Template","Nueva plantilla"
"New User","Nuevo usuario"
"New Website","Nuevo sitio web"
"New admin password","Nueva contraseña de administrador"
"Next month (hold for menu)","Siguiente mes (dejar pulsado para menú)"
"Next page","Página siguiente"
"Next year (hold for menu)","Siguiente año (dejar pulsado para menú)"
"No","No"
"No (price without tax)","No (precio sin impuesto)"
"No Data Found","No se encontraron datos"
"No Extensions Found","No se encontraron extensiones"
"No Templates Found","No se encontraron plantillas"
"No change","No cambiar"
"No profile","No hay perfil"
"No profile loaded...","No se cargó ningún perfil…"
"No records found for this period.","No se encontraron registros para este período."
"No records found.","No se encontraron registros."
"No search keywords.","No hay palabras clave."
"No search modules registered","No se registraron módulos de búsqueda"
"None","Ninguno"
"Note:","Nota:"
"Notes","Notas"
"Notes:","Notas:"
"Number of Orders","Número de pedidos"
"Number of Use","Número de uso"
"Number of Uses","Número de usos"
"Number of records:","Número de registros:"
"Old rate:","Tarifa antigua"
"One of options row has error","Una de las filas de opciones es errónea"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Sólo están disponibles los atributos de alcance ""Global"", tipo de entrada ""Desplegable"" y Usar para Crear Producto Configurable ""Sí""."
"Only mapped fields","Sólo campos vinculados"
"Optional","Opcional"
"Options","Opciones"
"Order #%s","Pedido #%s"
"Order #%s (%s)","Pedido #%s (%s)"
"Order Totals","Totales del pedido"
"Order confirmation email not sent","Correo de confirmación de pedido no enviado"
"Order confirmation email sent","Correo de confirmación de pedido enviado"
"Order not longer exist","El pedido ya no existe"
"Order not longer exist.","El pedido ya no existe."
"Orders","Pedidos"
"Original Magento attribute names in first row:","Nombres de atributo originales de Magento en la primera fila:"
"PEAR Configuration was successfully saved","La configuración PEAR ha sido grabada con éxito"
"PEAR Console","Consola PEAR"
"PEAR config","Configuración PEAR"
"PHP Version","Versión PHP"
"Package","Paquete"
"Package %s data was successfully loaded","Los datos del paquete %s fueron cargados con éxito"
"Package Extensions","Extensiones del paquete"
"Package File Name","Nombre de archivo del paquete"
"Package Info","Información del paquete"
"Package Information","Información del paquete"
"Packages","Paquetes"
"Page","Página"
"Parent Product Thumbnail","Miniatura del producto padre"
"Passive mode","Modo pasivo"
"Password","Contraseña"
"Password Confirmation","Confirmación de contraseña"
"Password:","Contraseña:"
"Path","Ruta"
"Path:","Ruta:"
"PayPal Email","Correo electrónico PayPal"
"Payment Data Transfer (PDT)","Transferencia de datos de pago (PDT)"
"Payment method must be specified","El método de pago debe estar especificado"
"Pending Tags","Etiquetas pendientes"
"Pending installation...","Instalación pendiente…"
"Per Item","Por artículo"
"Per Order","Por pedido"
"Percent","Por ciento"
"Performed At","Realizado el"
"Period","Período"
"Permanent (301)","Permanente(301)"
"Permissions","Permisos"
"Personal Information","Información personal"
"Phone:","Teléfono:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirme que quiere cambiar de sitio. Todos los datos no desados se perderán."
"Please enter 6 or more characters.","Por favor, escriba 6 o más caracteres."
"Please enter a number greater than 0 in this field.","Por favor, escriba un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, escriba una cantidad válida. Por ejemplo $100.00"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, escriba una URL válida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
"Please enter a valid URL. http:// is required","Por favor, escriba una URL válida. http:// es obligatorio"
"Please enter a valid credit card number.","Por favor, escriba un número de tarjeta de crédito válido"
"Please enter a valid date.","Por favor, escriba una fecha válida"
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, escriba una dirección de correo electrónico válida. Por ejemplo juan@dominio.com"
"Please enter a valid number in this field.","Por favor, escriba un número válido en este campo"
