"The number of recent post to be displayed in the menu. 0 to disable.","The number of recent post to be displayed in the menu. 0 to disable."
"The number of tags to display in tag cloud. 0 Will disable tag cloud","The number of tags to display in tag cloud. 0 Will disable tag cloud"
"The number posts displayed per page. 0 to disable pages.","The number posts displayed per page. 0 to disable pages."
"Title","Title"
"Total of %d comment(s) were successfully approved","Total of %d comment(s) were successfully approved"
"Total of %d comment(s) were successfully unapproved","Total of %d comment(s) were successfully unapproved"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find category to save","Unable to find category to save"
"Unable to find comment to save","Unable to find comment to save"
"Unable to find post to save","Unable to find post to save"
"Unapproved","Unapproved"
"Unapprove","Unapprove"
"Updated at","Updated at"
"Use categories id in posts URLs","Use categories id in posts URLs"
"User","User"
"Use short content field","Use short content field"
"Use space or comma as separators","Use space or comma as separators"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"View","View"
"XML","XML"
"Yes, all pages","Yes, all pages"
"Yes, only blog page","Yes, only blog page"
"You must be logged in to comment.","You must be logged in to comment."
"You must be logged in to post a comment.","You must be logged in to post a comment."
"Your comment has been submitted and is awaiting approval.","Your comment has been submitted and is awaiting approval."
"Your comment has been submitted.","Your comment has been submitted."
"Your Recaptcha solution was incorrect, please try again","Your Recaptcha solution was incorrect, please try again"
